Outcome type,Count
Investigation complete; no suspect identified,390
Suspect charged,121
Unable to prosecute suspect,57
Offender given a caution,28
Offender sent to prison,27
Local resolution,27
Offender fined,11
Offender given a drugs possession warning,10
Offender given penalty notice,9
Formal action is not in the public interest,7
Offender given conditional discharge,6
Offender given community sentence,5
Further investigation is not in the public interest,4
Action to be taken by another organisation,3
Defendant sent to Crown Court,2
Offender given suspended prison sentence,1
Offender deprived of property,1
