"Measure","Source","Time","Geography","Geography_code","Ethnicity","Ethnicity_type","Regional Population","Ethnic Population","Total Ethnic Population","Value1","Value1_type","Value2","Value2_type"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","All","All","59597578","59597578","59597578","100.0","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Asian","ONS 2021 5+1","5701177","159183","5515455","2.8","% of region","2.9","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Bangladeshi","ONS 2021 19+1","59597578","644900","644900","1.1","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Chinese","ONS 2021 19+1","59597578","445646","445646","0.7","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Indian","ONS 2021 19+1","59597578","1864304","1864304","3.1","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Pakistani","ONS 2021 19+1","59597578","1587822","1587822","2.7","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Any Other Asian Background","ONS 2021 19+1","59597578","972783","972783","1.6","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Black","ONS 2021 5+1","3107513","27561","2409283","0.9","% of region","1.1","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Black African","ONS 2021 19+1","59597578","1488387","1488387","2.5","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Black Caribbean","ONS 2021 19+1","59597578","623115","623115","1.0","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Any Other Black Background","ONS 2021 19+1","59597578","297781","297781","0.5","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","North East","E12000001","Mixed","ONS 2021 5+1","2647006","33264","1717977","1.3","% of region","1.9","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Mixed White And Asian","ONS 2021 19+1","59597578","488228","488228","0.8","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Mixed White And Black African","ONS 2021 19+1","59597578","249593","249593","0.4","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Mixed White And Black Caribbean","ONS 2021 19+1","59597578","513040","513040","0.9","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","59597578","467116","467116","0.8","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Other","ONS 2021 5+1","59597578","1255632","1255632","2.1","% of region","100.0","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Gypsy Or Irish Traveller","ONS 2021 19+1","59597578","67757","67757","0.1","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Roma","ONS 2021 19+1","59597578","100964","100964","0.2","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","North East","E12000001","Any Other White Background","ONS 2021 19+1","2647006","51783","3667993","2.0","% of region","1.4","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","White Irish","ONS 2021 19+1","59597578","507473","507473","0.9","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","White British","ONS 2021 19+1","59597578","44355044","44355044","74.4","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","White","ONS 2021 5+1","59597578","48699231","48699231","81.7","% of region","100.0","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Arab","ONS 2021 19+1","59597578","331856","331856","0.6","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Any Other Ethnic Background","ONS 2021 19+1","59597578","923776","923776","1.6","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","All","All","4880049","4880049","59597578","100.0","% of region","8.188334432","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Asian","ONS 2021 5+1","3107513","89032","5515455","2.9","% of region","1.6","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","Bangladeshi","ONS 2021 19+1","4880049","20983","644900","0.4","% of region","3.253682742","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","Chinese","ONS 2021 19+1","4880049","22977","445646","0.5","% of region","5.155886062","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","Indian","ONS 2021 19+1","4880049","229831","1864304","4.7","% of region","12.3279787","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","Pakistani","ONS 2021 19+1","4880049","71038","1587822","1.5","% of region","4.5","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","Any Other Asian Background","ONS 2021 19+1","4880049","46282","972783","0.9","% of region","4.75769005","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","North East","E12000001","Black","ONS 2021 5+1","2647006","26635","2409283","1.0","% of region","1.1","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","Black African","ONS 2021 19+1","4880049","83153","1488387","1.7","% of region","5.586786232","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","Black Caribbean","ONS 2021 19+1","4880049","30831","623115","0.6","% of region","4.947882815","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","Any Other Black Background","ONS 2021 19+1","4880049","15995","297781","0.3","% of region","5.371397101","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Mixed","ONS 2021 5+1","3107513","48602","1717977","1.6","% of region","2.8","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","Mixed White And Asian","ONS 2021 19+1","4880049","30804","488228","0.6","% of region","6.309347272","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","Mixed White And Black African","ONS 2021 19+1","4880049","14339","249593","0.3","% of region","5.744952783","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","Mixed White And Black Caribbean","ONS 2021 19+1","4880049","46399","513040","1.0","% of region","9.043934196","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","4880049","25705","467116","0.5","% of region","5.502915764","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","Other","ONS 2021 5+1","4880049","61946","1255632","1.3","% of region","4.9","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","Gypsy Or Irish Traveller","ONS 2021 19+1","4880049","4617","67757","0.1","% of region","6.814056112","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","Roma","ONS 2021 19+1","4880049","7195","100964","0.1","% of region","7.126302444","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Any Other White Background","ONS 2021 19+1","3107513","82994","3667993","2.7","% of region","2.3","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","White Irish","ONS 2021 19+1","4880049","27128","507473","0.6","% of region","5.3","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","White","ONS 2021 5+1","4880049","4179766","48699231","85.7","% of region","8.6","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","White British","ONS 2021 19+1","4880049","3882389","44355044","79.6","% of region","8.752981961","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","Arab","ONS 2021 19+1","4880049","13363","331856","0.3","% of region","4.026746541","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","Any Other Ethnic Background","ONS 2021 19+1","4880049","48583","923776","1.0","% of region","5.259175385","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East of England","E12000006","All","All","6335075","6335075","59597578","100.0","% of region","10.62975244","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","North East","E12000001","Asian","ONS 2021 5+1","2647006","98046","5515455","3.7","% of region","1.8","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East of England","E12000006","Bangladeshi","ONS 2021 19+1","6335075","50687","644900","0.8","% of region","7.859668166","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East of England","E12000006","Chinese","ONS 2021 19+1","6335075","38450","445646","0.6","% of region","8.627924406","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East of England","E12000006","Indian","ONS 2021 19+1","6335075","136970","1864304","2.2","% of region","7.346977746","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East of England","E12000006","Pakistani","ONS 2021 19+1","6335075","99452","1587822","1.6","% of region","6.3","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East of England","E12000006","Any Other Asian Background","ONS 2021 19+1","6335075","80307","972783","1.3","% of region","8.255386864","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Black","ONS 2021 5+1","5701177","69610","2409283","1.2","% of region","2.9","% of ethnic group"
