Accident_Index,Age_Band_of_Driver,Age_of_Vehicle,Driver_Home_Area_Type,Driver_IMD_Decile,Engine_Capacity_.CC.,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Journey_Purpose_of_Driver,Junction_Location,make,model,Propulsion_Code,Sex_of_Driver,Skidding_and_Overturning,Towing_and_Articulation,Vehicle_Leaving_Carriageway,Vehicle_Location.Restricted_Lane,Vehicle_Manoeuvre,Vehicle_Reference,Vehicle_Type,Was_Vehicle_Left_Hand_Drive,X1st_Point_of_Impact,Year
200401BS00001,26 - 35,3,Urban area,4,1588,None,None,Data missing or out of range,Data missing or out of range,ROVER,45 CLASSIC 16V,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Front,2004
200401BS00002,26 - 35,NA,Urban area,3,NA,None,None,Data missing or out of range,Data missing or out of range,BMW,C1,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,109,Data missing or out of range,Front,2004
200401BS00003,26 - 35,4,Data missing or out of range,NA,998,None,None,Data missing or out of range,Data missing or out of range,NISSAN,MICRA CELEBRATION 16V,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,109,Data missing or out of range,Front,2004
200401BS00003,66 - 75,NA,Data missing or out of range,NA,NA,None,None,Data missing or out of range,Data missing or out of range,LONDON TAXIS INT,TXII GOLD AUTO,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Front,2004
200401BS00004,26 - 35,1,Urban area,4,124,None,None,Data missing or out of range,Data missing or out of range,PIAGGIO,VESPA ET4,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 125cc and under,Data missing or out of range,Front,2004
200401BS00004,36 - 45,10,Data missing or out of range,NA,1781,None,None,Data missing or out of range,Data missing or out of range,VOLKSWAGEN,,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,U-turn,2,109,Data missing or out of range,Offside,2004
200401BS00009,26 - 35,NA,Urban area,4,NA,None,None,Data missing or out of range,Data missing or out of range,PIAGGIO,VESPA GT 125,NA,Male,Skidded,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 125cc and under,Data missing or out of range,Did not impact,2004
200401BS00010,36 - 45,NA,Urban area,8,NA,None,None,Data missing or out of range,Data missing or out of range,BMW,R1100 RT,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,109,Data missing or out of range,Front,2004
200401BS00012,46 - 55,3,Data missing or out of range,NA,2685,None,None,Data missing or out of range,Data missing or out of range,MERCEDES,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Slowing or stopping,1,109,Data missing or out of range,Back,2004
200401BS00013,26 - 35,4,Urban area,6,2300,None,None,Data missing or out of range,Data missing or out of range,VOLKSWAGEN,GOLF V5,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,109,Data missing or out of range,Offside,2004
200401BS00013,21 - 25,3,Urban area,8,2402,None,None,Data missing or out of range,Data missing or out of range,FORD,TRANSIT 350 LWB TD,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead right-hand bend,2,Van / Goods 3.5 tonnes mgw or under,Data missing or out of range,Front,2004
200401BS00021,36 - 45,2,Data missing or out of range,NA,8268,None,None,Data missing or out of range,Data missing or out of range,DENNIS,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,Bus or coach (17 or more pass seats),Data missing or out of range,Nearside,2004
200401BS00022,36 - 45,11,Data missing or out of range,NA,1998,None,None,Data missing or out of range,Data missing or out of range,VAUXHALL,CAVALIER LS AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,109,Data missing or out of range,Front,2004
200401BS00028,Data missing or out of range,6,Data missing or out of range,NA,NA,None,None,Data missing or out of range,Data missing or out of range,DENNIS,,Heavy oil,Not known,None,No tow/articulation,Did not leave carriageway,0,Moving off,1,Bus or coach (17 or more pass seats),Data missing or out of range,Nearside,2004
200401BS00030,Data missing or out of range,1,Urban area,10,6370,None,None,Data missing or out of range,Data missing or out of range,MERCEDES,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,Goods 7.5 tonnes mgw and over,Data missing or out of range,Front,2004
200401BS00033,Data missing or out of range,NA,Data missing or out of range,NA,NA,None,None,Data missing or out of range,Data missing or out of range,MAN,,NA,Not known,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,Goods 7.5 tonnes mgw and over,Data missing or out of range,Nearside,2004
200401BS00038,26 - 35,6,Urban area,8,1984,None,None,Data missing or out of range,Data missing or out of range,VOLKSWAGEN,GOLF GL AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,2,109,Data missing or out of range,Front,2004
200401BS00041,16 - 20,NA,Urban area,7,NA,None,None,Data missing or out of range,Data missing or out of range,PIAGGIO,VESPA ET4,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 125cc and under,Data missing or out of range,Data missing or out of range,2004
200401BS00044,Data missing or out of range,6,Urban area,5,2664,None,None,Data missing or out of range,Data missing or out of range,LONDON TAXIS INT,TX1 BRONZE AUTO,Heavy oil,Female,None,No tow/articulation,Did not leave carriageway,0,Moving off,2,108,Data missing or out of range,Offside,2004
